listing_id,has_availability,availability_30,availability_60,availability_90,availability_365
354569,TRUE,0,0,0,0
5456,TRUE,23,53,83,341
355176,TRUE,0,0,0,0
324480,TRUE,28,58,88,363
355232,TRUE,30,60,90,365
325889,TRUE,30,55,76,343
355328,FALSE,0,0,0,0
5769,TRUE,0,0,0,0
355792,TRUE,0,0,0,0
6413,TRUE,0,0,0,0
326172,TRUE,29,59,89,142
356675,TRUE,0,0,0,0
6448,TRUE,5,15,36,107
356719,TRUE,0,0,0,0
8502,TRUE,19,49,78,78
329172,TRUE,23,53,83,352
329306,TRUE,15,34,64,64
356837,TRUE,7,32,62,337
331549,FALSE,0,0,0,0
13035,TRUE,20,50,58,129
357529,TRUE,2,20,47,201
358164,TRUE,18,31,61,289
18258,TRUE,14,44,70,92
333442,TRUE,13,31,51,279
358643,FALSE,0,0,0,0
362460,FALSE,0,0,0,0
333815,TRUE,5,14,36,36
334616,TRUE,0,0,0,0
22828,TRUE,0,0,8,283
362662,TRUE,0,0,5,273
363040,TRUE,0,0,19,19
22982,TRUE,28,58,88,161
335231,TRUE,0,0,20,93
363944,TRUE,10,31,61,134
335885,TRUE,30,60,90,90
25028,TRUE,30,60,90,143
364025,TRUE,0,0,0,0
37324,TRUE,0,14,14,283
335945,TRUE,11,12,39,129
364269,TRUE,15,36,66,226
40285,TRUE,5,18,48,315
365471,TRUE,19,33,47,75
47572,TRUE,0,0,0,253
337125,TRUE,23,53,83,83
367356,TRUE,30,60,90,365
340045,FALSE,0,0,0,0
367789,TRUE,0,0,0,0
340630,TRUE,0,0,9,9
50318,TRUE,4,22,22,201
368057,TRUE,0,0,0,0
369090,FALSE,0,0,0,0
57187,TRUE,12,36,64,318
341382,TRUE,0,0,0,0
381240,TRUE,14,44,74,239
341530,TRUE,0,0,0,18
69303,TRUE,13,39,65,292
69810,TRUE,0,0,0,0
406911,TRUE,19,49,72,334
70258,TRUE,30,60,82,82
70812,TRUE,19,49,79,79
341596,TRUE,0,0,7,208
412290,TRUE,0,0,0,0
424279,TRUE,29,41,41,65
342039,TRUE,22,48,78,162
342243,TRUE,0,0,7,282
72833,TRUE,0,0,0,9
430683,TRUE,27,57,87,177
73005,TRUE,29,59,89,166
73289,TRUE,7,7,7,57
74318,TRUE,0,0,0,0
343462,TRUE,0,0,23,291
433996,TRUE,17,47,77,256
343889,TRUE,0,0,9,152
75957,TRUE,15,38,59,210
435211,TRUE,0,0,0,0
345221,TRUE,0,0,0,0
438411,TRUE,10,40,70,160
76501,TRUE,21,51,72,72
442720,TRUE,4,4,28,183
76911,TRUE,28,53,72,89
76925,TRUE,0,0,0,0
345473,TRUE,9,28,54,113
345536,TRUE,25,42,72,258
347572,TRUE,0,0,0,0
461404,TRUE,27,50,55,275
347654,TRUE,30,57,86,86
347935,TRUE,0,0,0,0
77347,TRUE,0,10,40,315
474901,TRUE,30,60,90,353
77639,TRUE,20,50,80,338
78035,TRUE,0,0,0,23
349447,TRUE,16,42,71,329
479197,TRUE,0,0,0,191
349635,TRUE,21,49,79,115
78127,TRUE,0,0,0,0
78422,TRUE,9,18,18,55
78731,TRUE,19,49,79,145
350072,TRUE,0,0,0,0
485360,TRUE,30,60,90,91
351865,TRUE,0,0,0,0
78884,TRUE,25,55,85,270
501861,TRUE,28,58,88,348
79603,TRUE,16,16,16,18
510168,TRUE,27,52,82,343
79768,TRUE,0,0,0,0
353261,TRUE,21,51,81,245
517378,FALSE,0,0,0,0
353955,TRUE,0,0,0,0
82033,TRUE,30,60,90,179
517430,TRUE,23,53,77,134
354263,TRUE,20,50,80,330
354513,TRUE,0,0,0,0
687675,TRUE,0,0,0,0
522136,TRUE,13,29,49,102
692220,TRUE,0,0,0,162
693890,TRUE,0,0,0,0
83643,TRUE,30,60,87,355
84771,TRUE,0,0,0,0
89475,TRUE,0,0,8,282
525231,TRUE,1,31,40,107
528338,TRUE,6,6,6,6
90898,TRUE,30,60,90,357
90957,TRUE,30,60,90,361
698373,FALSE,0,0,0,0
699018,TRUE,11,11,11,11
699485,FALSE,0,0,0,0
530483,TRUE,0,25,55,55
701300,TRUE,0,0,0,0
104099,TRUE,8,8,9,9
104386,TRUE,0,26,56,303
540377,TRUE,0,0,0,0
104394,TRUE,0,0,18,18
701392,TRUE,0,0,0,0
542124,TRUE,27,57,87,349
702474,FALSE,0,0,0,0
702825,TRUE,23,45,70,325
109005,TRUE,0,0,0,58
560094,TRUE,29,59,89,354
113779,TRUE,11,41,71,345
116014,TRUE,0,0,0,0
704589,TRUE,29,59,89,357
563735,TRUE,30,60,90,365
587572,TRUE,0,0,0,81
704738,TRUE,10,40,70,160
128326,TRUE,12,22,39,280
592958,TRUE,29,59,89,124
140474,TRUE,0,0,9,284
140504,TRUE,0,12,42,317
705858,TRUE,8,17,35,253
710276,TRUE,0,0,0,0
602877,TRUE,30,60,90,365
145210,TRUE,0,13,19,57
603084,TRUE,0,4,34,92
158398,TRUE,10,37,40,150
711149,TRUE,30,60,90,365
607536,TRUE,21,51,81,345
714922,TRUE,12,42,72,162
609427,TRUE,28,58,88,137
167459,TRUE,27,57,87,359
174828,TRUE,0,0,6,87
716119,TRUE,0,0,0,0
184853,TRUE,0,8,38,128
609618,TRUE,0,0,0,0
719298,TRUE,0,0,0,0
622495,TRUE,0,1,1,182
195674,TRUE,27,57,87,341
628034,TRUE,14,30,48,244
202187,TRUE,7,20,34,209
720315,TRUE,0,6,28,159
720369,TRUE,0,0,0,41
632659,TRUE,7,12,25,81
202753,TRUE,27,57,87,87
636996,TRUE,7,7,7,7
207054,TRUE,26,56,86,86
723950,TRUE,12,42,72,321
637480,FALSE,0,0,0,0
726770,TRUE,28,58,87,87
208897,TRUE,23,51,81,200
642674,TRUE,14,33,58,324
727593,TRUE,28,58,88,363
644051,TRUE,29,59,89,360
727662,TRUE,30,60,82,82
210834,TRUE,0,0,0,0
649833,TRUE,30,60,90,365
218402,TRUE,4,16,16,276
219168,TRUE,0,0,0,0
222986,TRUE,18,43,73,236
728728,TRUE,16,46,76,351
729271,TRUE,0,0,0,0
731024,TRUE,30,60,90,341
660425,TRUE,28,58,88,159
733203,TRUE,28,54,81,348
224603,TRUE,0,16,28,115
662226,TRUE,8,38,68,315
662245,TRUE,0,0,0,0
227372,TRUE,27,57,87,151
233930,TRUE,0,0,28,303
735592,TRUE,19,44,71,334
735659,FALSE,0,0,0,0
664013,TRUE,17,47,77,155
735775,FALSE,0,0,0,0
238657,TRUE,6,25,51,172
666423,TRUE,30,60,90,358
666768,TRUE,30,60,90,358
240541,TRUE,17,38,38,38
736279,TRUE,0,0,0,266
668239,TRUE,0,0,0,0
742593,TRUE,0,20,50,128
247770,FALSE,0,0,0,0
668301,TRUE,19,36,36,57
669469,TRUE,0,0,0,0
248515,TRUE,29,59,89,89
252804,TRUE,0,0,0,0
743362,TRUE,0,6,36,95
676107,TRUE,0,0,0,0
746317,TRUE,22,48,78,246
747499,TRUE,0,0,8,255
676959,TRUE,0,0,0,1
254232,TRUE,12,42,72,343
685361,TRUE,27,57,87,359
750935,TRUE,11,11,11,170
751847,TRUE,0,4,26,124
685451,TRUE,30,60,90,365
760036,TRUE,0,0,0,223
761955,TRUE,30,60,90,365
686463,TRUE,29,59,89,364
957405,FALSE,0,0,0,0
762400,TRUE,6,19,28,269
959270,TRUE,6,25,47,47
763084,TRUE,30,60,90,365
765117,FALSE,0,0,0,0
765450,TRUE,20,48,78,158
271052,TRUE,29,59,89,348
277028,TRUE,28,58,84,263
959630,TRUE,0,0,8,261
771437,TRUE,0,0,0,0
775192,FALSE,0,0,0,0
960315,TRUE,25,55,85,261
281182,TRUE,0,0,8,83
960376,FALSE,0,0,0,0
776649,TRUE,0,0,0,0
961883,TRUE,30,60,90,180
282342,TRUE,2,2,2,2
967451,TRUE,9,39,69,145
294708,TRUE,30,60,90,179
785963,TRUE,27,57,87,346
789994,FALSE,0,0,0,0
799135,TRUE,30,60,90,179
968817,TRUE,30,60,90,365
801521,TRUE,17,47,77,210
295275,TRUE,27,57,87,362
968844,TRUE,27,57,86,86
300574,TRUE,26,56,84,169
304808,TRUE,23,41,45,289
304866,TRUE,30,60,90,361
811086,TRUE,0,0,0,0
813709,TRUE,0,0,28,303
814908,TRUE,19,45,68,226
968883,TRUE,0,0,0,68
825940,TRUE,24,24,24,105
305392,TRUE,0,0,0,0
315239,TRUE,30,60,90,365
974793,TRUE,27,57,87,362
316630,TRUE,0,0,0,0
826750,TRUE,6,10,37,68
839470,FALSE,0,0,0,0
977492,TRUE,20,50,79,79
846780,TRUE,0,0,23,265
850518,TRUE,19,19,19,19
319759,TRUE,19,39,56,307
319887,TRUE,0,0,0,0
977906,TRUE,28,58,88,363
978089,FALSE,0,0,0,0
319894,TRUE,27,55,85,158
979637,TRUE,17,47,77,346
321069,TRUE,0,0,0,0
322834,TRUE,0,0,0,0
860402,TRUE,9,39,69,301
980785,FALSE,0,0,0,0
